loan_id,customer_id,producto,fecha_desembolso,monto_desembolsado,saldo_actual,plazo_meses,tasa_anual,estado_credito,dias_mora,bucket_mora,provision,cuota_mensual,ingresos_estimados,ratio_cuota_ingreso
L000001,C00904,Tarjeta,2026-03-05,24280.15,20653.03,180,0.2048,Vigente,0,0,206.53,162.52,10912.83,0.0149
L000002,C00520,Tarjeta,2023-11-07,38725.95,37339.48,36,0.13,Cancelado,0,0,373.39,1215.56,12567.72,0.0967
L000003,C00122,Tarjeta,2024-03-19,100014.58,47686.63,12,0.1777,Vigente,0,0,476.87,9815.6,2826.21,3.4731
L000004,C00340,Tarjeta,2023-05-31,55673.64,18489.87,120,0.3225,Vigente,77,61-90,4622.47,613.57,21309.9,0.0288
L000005,C00175,Consumo,2025-11-21,42649.93,39210.29,24,0.2666,Vigente,0,0,392.1,2250.85,3388.26,0.6643
L000006,C00597,Capital de Trabajo,2023-04-26,48450.31,20797.21,180,0.1812,Vigente,0,0,207.97,317.94,7481.95,0.0425
L000007,C00451,Capital de Trabajo,2023-08-16,46006.89,17011.04,12,0.3086,Vigente,38,31-60,1701.1,5017.05,17759.68,0.2825
L000008,C00557,Tarjeta,2025-07-19,4348.65,2392.92,48,0.1603,Vigente,0,0,23.93,105.12,20932.49,0.005
L000009,C01160,Consumo,2022-12-12,50511.59,42605.67,36,0.3134,Cancelado,0,0,426.06,1842.83,5858.41,0.3146
L000010,C01040,Vehicular,2023-05-10,55483.43,37831.06,24,0.3276,Vigente,0,0,378.31,3069.16,14832.03,0.2069
L000011,C00009,Consumo,2026-02-12,62483.29,46828.75,12,0.1172,Vigente,0,0,468.29,5817.19,18417.68,0.3158
L000012,C00334,Consumo,2023-02-16,35917.97,29591.44,36,0.2097,Vigente,0,0,295.91,1206.94,11602.87,0.104
L000013,C01017,Consumo,2025-04-10,42664.32,27252.86,12,0.3068,Vigente,0,0,272.53,4646.14,3272.55,1.4197
L000014,C00327,Tarjeta,2024-08-24,17578.13,6140.97,60,0.2926,Vigente,0,0,61.41,378.69,12847.69,0.0295
L000015,C00015,Tarjeta,2023-01-12,7181.54,3210.3,36,0.3019,Vigente,0,0,32.1,259.71,19470.27,0.0133
L000016,C00839,Consumo,2023-08-17,47219.8,21514.43,12,0.242,Vigente,0,0,215.14,4887.25,8265.15,0.5913
L000017,C00226,Vehicular,2025-10-25,52442.82,17711.9,24,0.1886,Vigente,0,0,177.12,2597.23,10956.0,0.2371
L000018,C00113,Tarjeta,2024-05-06,178583.1,115534.44,12,0.1298,Vigente,0,0,1155.34,16813.6,34207.05,0.4915
L000019,C00001,Vehicular,2023-07-29,23151.38,22014.77,60,0.168,Vigente,0,0,220.15,450.68,16466.44,0.0274
L000020,C00266,Vehicular,2024-03-28,163960.76,54057.77,48,0.2172,Cancelado,0,0,540.58,4157.77,17524.25,0.2373
L000021,C00952,Capital de Trabajo,2023-05-11,83286.35,32342.29,24,0.2593,Vigente,21,1-30,970.27,4370.1,11849.83,0.3688
L000022,C00306,Hipotecario,2023-03-05,221993.0,175835.44,12,0.2526,Vigente,0,0,1758.35,23172.37,47921.67,0.4835
L000023,C00012,Tarjeta,2025-09-09,179193.6,70197.17,36,0.2928,Vigente,0,0,701.97,6435.04,22708.3,0.2834
L000024,C00937,Consumo,2024-04-18,34469.64,16929.76,24,0.1121,Vigente,0,0,169.3,1597.24,2499.94,0.6389
L000025,C00420,Capital de Trabajo,2025-08-04,165071.55,66286.25,36,0.1979,Vigente,0,0,662.86,5492.76,4023.49,1.3652
L000026,C00889,Consumo,2023-10-11,54659.78,41007.09,72,0.2367,Vigente,0,0,410.07,938.86,5854.4,0.1604
L000027,C00171,Consumo,2025-11-30,39124.43,33309.34,24,0.2413,Cancelado,0,0,333.09,2023.55,11220.77,0.1803
L000028,C00134,Consumo,2025-02-03,8383.42,3195.45,72,0.2836,Vigente,0,0,31.95,149.46,15387.42,0.0097
L000029,C00965,Consumo,2024-03-11,47523.97,35606.76,36,0.2568,Vigente,0,0,356.07,1659.11,11768.3,0.141
L000030,C01049,Vehicular,2023-12-19,7774.07,5246.63,60,0.3111,Vigente,0,0,52.47,169.88,14920.77,0.0114
L000031,C01165,Consumo,2023-10-02,30708.84,24330.39,24,0.176,Refinanciado,92,>90,12165.19,1504.73,12056.59,0.1248
L000032,C00658,Tarjeta,2023-08-21,8494.03,3759.65,24,0.1427,Vigente,0,0,37.6,404.42,3668.84,0.1102
L000033,C01116,Consumo,2024-06-08,14137.22,4527.09,180,0.0806,Vigente,0,0,45.27,84.87,21092.28,0.004
L000034,C00179,Consumo,2022-11-05,10367.74,6353.02,72,0.2156,Vigente,0,0,63.53,175.04,23991.03,0.0073
L000035,C01080,Tarjeta,2025-11-25,207717.79,93671.8,72,0.2601,Cancelado,0,0,936.72,3635.35,31767.4,0.1144
L000036,C01179,Tarjeta,2022-12-10,7679.35,2191.83,60,0.174,Vigente,0,0,21.92,150.26,5364.08,0.028
L000037,C00111,Hipotecario,2023-02-08,5970.74,3211.24,24,0.2108,Vigente,0,0,32.11,301.22,21436.0,0.0141
L000038,C00137,Consumo,2024-05-02,23988.79,19116.86,36,0.1816,Vigente,0,0,191.17,787.37,11905.87,0.0661
L000039,C00232,Consumo,2025-02-13,12244.39,5698.22,24,0.0827,Vigente,0,0,56.98,552.38,8420.49,0.0656
L000040,C00992,Capital de Trabajo,2022-05-28,73010.42,64880.92,12,0.3186,Vigente,0,0,648.81,8022.63,4963.58,1.6163
L000041,C00468,Vehicular,2022-09-12,152444.19,78128.43,36,0.3352,Vigente,0,0,781.28,5653.99,20553.13,0.2751
L000042,C00732,Capital de Trabajo,2023-03-16,101147.07,40075.18,36,0.2497,Vigente,0,0,400.75,3511.21,18502.73,0.1898
L000043,C00481,Tarjeta,2023-01-02,49898.91,15661.16,48,0.134,Vigente,0,0,156.61,1178.86,7919.49,0.1489
