tx_id,cliente_id,monto,canal,fecha_hora,comercio,tipo_tx
TX0000001,C00155,1751.76,ATM,2026-04-10 23:09:00,Servicios,Compra
TX0000002,C00257,186.68,ATM,2026-02-08 09:15:00,Servicios,Pago
TX0000003,C00165,565.2,ATM,2026-04-16 17:19:00,Viajes,Transferencia
TX0000004,C00352,119.48,POS,2026-02-18 08:16:00,Restaurante,Transferencia
TX0000005,C00005,2175.72,App,2026-03-19 13:06:00,Gasolinera,Pago
TX0000006,C00320,471.83,POS,2026-04-14 15:06:00,Restaurante,Retiro
TX0000007,C00438,505.37,ATM,2026-03-11 16:25:00,Viajes,Retiro
TX0000008,C00126,441.47,ATM,2026-04-09 04:44:00,Farmacia,Compra
TX0000009,C00216,346.37,ATM,2026-02-05 06:50:00,Viajes,Compra
TX0000010,C00071,104.2,ATM,2026-03-21 08:30:00,Retail,Retiro
TX0000011,C00130,64.76,POS,2026-03-16 20:55:00,Servicios,Transferencia
TX0000012,C00337,1086.53,App,2026-04-18 11:20:00,Gasolinera,Compra
TX0000013,C00221,313.05,POS,2026-01-23 16:16:00,Restaurante,Compra
TX0000014,C00027,1273.07,POS,2026-01-25 08:06:00,Restaurante,Retiro
TX0000015,C00194,441.29,POS,2026-02-08 06:25:00,Farmacia,Compra
TX0000016,C00410,514.15,Web,2026-02-02 23:17:00,Supermercado,Retiro
TX0000017,C00448,45.83,POS,2026-03-22 22:39:00,Ecommerce,Compra
TX0000018,C00196,545.08,POS,2026-04-11 12:01:00,Viajes,Pago
TX0000019,C00172,335.27,POS,2026-03-30 14:52:00,Supermercado,Pago
TX0000020,C00027,824.75,ATM,2026-03-17 11:40:00,Viajes,Retiro
TX0000021,C00417,65.75,Web,2026-02-13 23:04:00,Ecommerce,Transferencia
TX0000022,C00389,94.17,ATM,2026-02-21 11:03:00,Viajes,Transferencia
TX0000023,C00298,902.2,App,2026-02-26 08:30:00,Restaurante,Transferencia
TX0000024,C00359,351.32,POS,2026-01-25 06:12:00,Restaurante,Compra
TX0000025,C00224,532.97,ATM,2026-02-21 16:43:00,Supermercado,Retiro
TX0000026,C00427,1835.71,Web,2026-03-20 11:01:00,Restaurante,Pago
TX0000027,C00167,375.38,POS,2026-02-16 06:22:00,Viajes,Retiro
TX0000028,C00093,652.32,POS,2026-02-08 01:27:00,Servicios,Pago
TX0000029,C00234,160.66,ATM,2026-03-06 11:36:00,Retail,Compra
TX0000030,C00207,173.6,Web,2026-03-09 01:32:00,Farmacia,Retiro
TX0000031,C00182,1811.14,Web,2026-02-01 08:54:00,Farmacia,Transferencia
TX0000032,C00342,951.6,POS,2026-04-04 12:45:00,Gasolinera,Retiro
TX0000033,C00287,586.53,POS,2026-03-14 00:06:00,Supermercado,Retiro
TX0000034,C00125,242.7,App,2026-02-11 19:19:00,Gasolinera,Compra
TX0000035,C00098,1065.26,Web,2026-04-03 16:21:00,Retail,Compra
TX0000036,C00435,868.41,Web,2026-03-03 19:11:00,Gasolinera,Retiro
TX0000037,C00279,974.16,POS,2026-02-09 11:57:00,Gasolinera,Compra
TX0000038,C00149,443.4,Web,2026-03-06 02:48:00,Supermercado,Retiro
TX0000039,C00275,1197.62,App,2026-03-26 14:04:00,Supermercado,Transferencia
TX0000040,C00062,274.27,POS,2026-02-22 05:25:00,Gasolinera,Retiro
TX0000041,C00344,358.33,App,2026-03-22 15:37:00,Ecommerce,Compra
TX0000042,C00243,642.2,App,2026-04-11 01:53:00,Restaurante,Transferencia
TX0000043,C00025,253.96,POS,2026-03-07 18:26:00,Restaurante,Compra
TX0000044,C00195,1629.85,Web,2026-02-18 22:49:00,Viajes,Pago
TX0000045,C00404,537.07,App,2026-04-21 23:44:00,Ecommerce,Compra
TX0000046,C00225,471.94,POS,2026-02-15 18:32:00,Farmacia,Compra
TX0000047,C00209,609.52,Web,2026-04-21 21:46:00,Gasolinera,Compra
TX0000048,C00042,135.7,POS,2026-03-30 21:36:00,Gasolinera,Transferencia
TX0000049,C00264,1118.68,App,2026-04-10 07:55:00,Servicios,Compra
TX0000050,C00445,94.51,App,2026-04-05 09:34:00,Gasolinera,Retiro
TX0000051,C00428,683.04,ATM,2026-04-10 07:48:00,Retail,Compra
TX0000052,C00187,739.69,Web,2026-04-03 19:19:00,Ecommerce,Transferencia
TX0000053,C00201,1618.84,POS,2026-02-04 14:32:00,Restaurante,Transferencia
TX0000054,C00309,496.44,POS,2026-02-09 04:42:00,Gasolinera,Transferencia
TX0000055,C00264,349.42,POS,2026-02-13 07:12:00,Supermercado,Transferencia
TX0000056,C00185,166.75,App,2026-02-08 14:30:00,Ecommerce,Transferencia
TX0000057,C00448,1758.02,ATM,2026-02-19 02:14:00,Farmacia,Compra
TX0000058,C00132,1359.28,ATM,2026-01-26 15:49:00,Viajes,Retiro
TX0000059,C00264,1144.22,POS,2026-04-05 14:17:00,Restaurante,Transferencia
TX0000060,C00201,627.26,POS,2026-04-09 21:37:00,Retail,Transferencia
TX0000061,C00044,1518.84,App,2026-02-16 04:30:00,Supermercado,Retiro
TX0000062,C00055,417.9,App,2026-02-07 19:04:00,Ecommerce,Compra
TX0000063,C00086,269.86,POS,2026-02-28 23:32:00,Farmacia,Compra
TX0000064,C00294,244.19,App,2026-04-02 01:49:00,Supermercado,Transferencia
TX0000065,C00225,240.44,POS,2026-04-18 11:20:00,Viajes,Transferencia
TX0000066,C00428,219.64,POS,2026-02-04 12:47:00,Servicios,Retiro
TX0000067,C00045,66.72,App,2026-02-12 19:52:00,Servicios,Compra
TX0000068,C00294,300.94,POS,2026-03-08 06:19:00,Viajes,Pago
TX0000069,C00222,96.04,Web,2026-02-14 09:34:00,Restaurante,Compra
TX0000070,C00358,21.25,App,2026-03-21 08:12:00,Retail,Compra
TX0000071,C00355,508.69,App,2026-03-27 02:24:00,Farmacia,Compra
TX0000072,C00413,207.94,App,2026-04-05 09:25:00,Restaurante,Retiro
TX0000073,C00231,935.62,App,2026-02-26 05:46:00,Gasolinera,Compra
TX0000074,C00430,2127.85,POS,2026-04-20 11:25:00,Restaurante,Pago
TX0000075,C00064,759.65,App,2026-03-29 05:27:00,Gasolinera,Compra
TX0000076,C00354,388.13,App,2026-02-10 15:35:00,Retail,Compra
TX0000077,C00340,348.55,App,2026-03-11 20:06:00,Farmacia,Compra
TX0000078,C00183,3.24,POS,2026-02-16 20:39:00,Gasolinera,Pago
TX0000079,C00258,963.88,POS,2026-03-25 12:03:00,Farmacia,Retiro
TX0000080,C00302,645.97,ATM,2026-02-22 00:21:00,Farmacia,Compra
