payment_id,loan_id,fecha_pago,monto_pagado,estado_pago,canal_pago
P4795715,L001179,2022-06-15,1417.97,Pagado,Agencia
P2737893,L000102,2022-06-25,1366.72,Pagado,Agente
P7064832,L000578,2022-06-25,5265.56,Pagado,App
P9747185,L001489,2022-06-27,374.13,Pagado,Agencia
P2626229,L000063,2022-06-28,679.68,Parcial,Débito automático
P8329435,L001135,2022-07-04,2494.86,Pagado,App
P2264748,L000074,2022-07-15,2629.29,Pagado,Agencia
P2323049,L000593,2022-07-27,4668.49,Pagado,Débito automático
P3949245,L000690,2022-07-27,501.42,Pagado,Agente
P8526283,L000519,2022-07-28,238.79,Pagado,Débito automático
P3024269,L000240,2022-07-30,4840.73,Pagado,Agente
P2595275,L000399,2022-07-31,3202.55,Parcial,Débito automático
P6664316,L000597,2022-07-31,15677.32,Pagado,Agencia
P6557798,L000814,2022-08-03,1622.29,Pagado,App
P4854842,L000814,2022-08-04,1544.33,Pagado,App
P1081065,L001461,2022-08-08,2706.86,Pagado,Agente
P5191056,L000074,2022-08-09,3528.44,Pagado,Agencia
P4195751,L000765,2022-08-09,741.76,Pagado,App
P4323709,L001777,2022-08-10,66.2,Pagado,App
P4263903,L001263,2022-08-11,1393.88,Pagado,Agencia
P3937099,L000690,2022-08-14,502.66,Pagado,App
P8251427,L001615,2022-08-18,128.67,Pagado,Débito automático
P4940441,L000155,2022-08-19,673.89,Parcial,Débito automático
P5366937,L000574,2022-08-22,3665.69,Pagado,Agencia
P7808902,L001494,2022-08-22,1416.61,Pagado,Débito automático
P5545223,L000240,2022-08-24,5184.26,Pagado,Débito automático
P9653916,L001563,2022-08-26,1240.88,Pagado,Débito automático
P2287332,L000471,2022-08-27,5009.43,Pagado,App
P4197381,L001359,2022-08-27,11866.36,Pagado,App
P8452252,L001338,2022-08-29,872.6,Pagado,Agente
P7619156,L000673,2022-08-31,1607.13,Pagado,Agencia
P6937696,L000843,2022-08-31,3387.3,Pagado,Agencia
P7689582,L000399,2022-09-03,2403.49,Pagado,Agente
P3475548,L000374,2022-09-04,2245.99,Pagado,Agente
P1047572,L000374,2022-09-04,1524.49,Pagado,Agencia
P1024528,L001058,2022-09-04,420.4,Pagado,App
P5798393,L001563,2022-09-08,1478.84,Pagado,App
P8546170,L000765,2022-09-10,926.27,Pagado,App
P2795765,L000102,2022-09-13,1310.91,Pagado,Agencia
P9888846,L001530,2022-09-13,329.84,Pagado,Agente
P8005797,L000784,2022-09-14,4629.29,Pagado,Débito automático
P6144280,L000240,2022-09-15,4200.78,Pagado,App
P4569531,L001471,2022-09-15,572.05,Pagado,Agente
P4290000,L001777,2022-09-15,103.33,Pagado,Agente
P5339561,L001794,2022-09-16,294.11,Pagado,App
P9825812,L000529,2022-09-19,1911.62,Pagado,Agente
P1878547,L000485,2022-09-22,132.74,Pagado,App
P5833542,L000520,2022-09-22,6293.27,Pagado,Agencia
P1625760,L000690,2022-09-24,459.08,Pagado,Débito automático
P9563292,L001476,2022-09-28,406.57,Pagado,App
P9294272,L000158,2022-09-29,156.52,Parcial,Agente
P3673793,L001410,2022-09-30,1417.08,Pagado,App
P7485471,L000485,2022-10-01,146.86,Pagado,Débito automático
P1200603,L001086,2022-10-01,572.08,Parcial,Agente
P5494430,L000929,2022-10-02,517.84,Pagado,Débito automático
P2425760,L000875,2022-10-04,1317.7,Pagado,Débito automático
P6276495,L000987,2022-10-06,276.19,Pagado,App
P1632925,L001271,2022-10-06,934.01,Pagado,App
P2786278,L001381,2022-10-06,1103.68,Pagado,Agencia
P6420100,L001696,2022-10-06,8052.5,Pagado,Agente
P6533187,L000285,2022-10-08,4090.63,Pagado,Débito automático
P7225647,L000765,2022-10-08,985.72,Pagado,App
P6512314,L000374,2022-10-09,1847.36,Pagado,Débito automático
P6880098,L001148,2022-10-09,28.01,Pagado,Débito automático
P8852085,L000695,2022-10-10,1213.69,Pagado,Agencia
P2488575,L001146,2022-10-12,1707.74,Pagado,Agencia
P6236326,L001696,2022-10-12,5060.4,Pagado,Agencia
P5772818,L001748,2022-10-12,330.53,Pagado,Agencia
P7528399,L001696,2022-10-13,2580.87,Pagado,App
P2503554,L000843,2022-10-14,3137.14,Pagado,App
P1592554,L001253,2022-10-14,3365.34,Pagado,App
P8411939,L000147,2022-10-17,631.03,Pagado,Débito automático
P3607983,L000102,2022-10-18,1581.47,Pagado,App
P3251501,L000695,2022-10-18,1133.03,Parcial,App
P7372653,L000784,2022-10-18,4418.94,Pagado,App
P8248238,L000277,2022-10-20,7907.86,Pagado,App
P3686631,L000898,2022-10-20,2068.44,Pagado,App
P9684044,L001748,2022-10-20,298.11,Pagado,Débito automático
P6577416,L000307,2022-10-23,693.19,Vencido,Agente
P4859072,L000784,2022-10-23,4755.63,Parcial,Agente
P5669851,L000906,2022-10-23,555.1,Pagado,App
P7058222,L000995,2022-10-24,432.23,Vencido,Agencia
P8977571,L000815,2022-10-26,2521.92,Pagado,Agencia
P8231838,L000063,2022-10-28,616.0,Parcial,Agencia
P6029651,L000643,2022-10-28,1394.64,Vencido,App
P6022741,L000102,2022-10-29,1327.98,Pagado,Agente
P1650662,L001201,2022-10-29,1727.41,Pagado,App
P9790328,L000793,2022-11-01,718.4,Pagado,App
P1605005,L001564,2022-11-01,917.85,Pagado,Agente
P1682046,L001732,2022-11-03,377.23,Pagado,App
P3790695,L001151,2022-11-05,2019.29,Pagado,Débito automático
P4832222,L001289,2022-11-05,4006.4,Pagado,Agencia
P5886520,L000268,2022-11-08,923.14,Pagado,App
P4699871,L000925,2022-11-09,522.07,Parcial,Agente
P4521171,L000936,2022-11-09,736.62,Pagado,App
P4762150,L000578,2022-11-12,8520.46,Pagado,App
P5958372,L000992,2022-11-14,5471.52,Pagado,Agente
P9396617,L001263,2022-11-14,1719.91,Pagado,Débito automático
P4896008,L000690,2022-11-16,303.48,Parcial,Agente
P9889215,L001263,2022-11-17,741.31,Pagado,Débito automático
P7520284,L000910,2022-11-18,2743.63,Pagado,Débito automático
P4038955,L001257,2022-11-19,845.95,Parcial,Agencia
P6189037,L000585,2022-11-20,1689.12,Pagado,Agencia
P6669584,L001359,2022-11-20,10044.09,Pagado,App
P9742683,L000846,2022-11-21,913.57,Pagado,Agencia
P1642620,L000518,2022-11-23,4710.74,Pagado,Débito automático
P7779646,L001250,2022-11-24,4288.6,Pagado,Agencia
P9511330,L001256,2022-11-24,1782.42,Pagado,Agente
P8948107,L000634,2022-11-25,420.64,Pagado,Débito automático
P5293691,L000519,2022-11-26,267.01,Pagado,App
P7949543,L000949,2022-11-26,1125.42,Pagado,App
P4262081,L000158,2022-11-27,103.78,Pagado,Débito automático
P9861040,L000814,2022-11-28,1900.65,Pagado,Agente
P5872986,L000676,2022-11-29,3417.22,Pagado,App
P7194416,L000110,2022-11-30,3273.63,Pagado,App
P2737347,L001365,2022-11-30,226.21,Pagado,Agencia
P9778944,L001794,2022-11-30,229.42,Vencido,App
P7585795,L000910,2022-12-01,3250.95,Pagado,Agencia
P3518002,L001041,2022-12-03,90.97,Pagado,App
P6172545,L001077,2022-12-03,1239.0,Pagado,App
P3335975,L000938,2022-12-04,673.18,Parcial,Agencia
P4237420,L001708,2022-12-04,8584.68,Pagado,Débito automático
P9219319,L001728,2022-12-04,1438.93,Pagado,Agencia
P1540516,L000740,2022-12-06,220.83,Pagado,Agencia
P3790696,L000875,2022-12-06,920.03,Pagado,Agente
P6407373,L000226,2022-12-07,4498.33,Vencido,Agente
P6429135,L000705,2022-12-07,1460.76,Pagado,Débito automático
P7649508,L000967,2022-12-07,4994.23,Pagado,App
P1079079,L001266,2022-12-07,1768.65,Pagado,Agente
P9957363,L001742,2022-12-07,7286.64,Parcial,Agencia
P9854536,L000520,2022-12-09,4911.3,Pagado,App
P6504900,L000722,2022-12-10,956.69,Vencido,Agencia
P1940167,L001686,2022-12-12,774.24,Parcial,Débito automático
P9386232,L000814,2022-12-13,1572.78,Pagado,Agencia
P5255545,L000532,2022-12-14,1772.65,Pagado,Agencia
P8945197,L001171,2022-12-14,3568.96,Pagado,App
P7917972,L001744,2022-12-14,5996.92,Pagado,App
P1187069,L001444,2022-12-16,1089.28,Pagado,Agente
P9863176,L000995,2022-12-17,610.63,Pagado,App
P8744735,L000866,2022-12-18,2348.96,Pagado,App
P4417412,L001548,2022-12-18,148.12,Pagado,Agente
P8106470,L000063,2022-12-19,840.03,Pagado,App
P7897151,L000064,2022-12-19,6574.87,Parcial,Agencia
P4390138,L000678,2022-12-19,738.78,Pagado,Agencia
P7494562,L001181,2022-12-19,2114.38,Pagado,App
P5587308,L000298,2022-12-20,5761.2,Pagado,App
P7450545,L000471,2022-12-20,5156.71,Parcial,App
P8835373,L000064,2022-12-21,4458.7,Pagado,App
P5793722,L000175,2022-12-22,1404.45,Pagado,Débito automático
P1043092,L001037,2022-12-23,2273.24,Pagado,Agencia
P3345338,L001086,2022-12-23,1048.28,Pagado,Débito automático
P4253164,L000457,2022-12-24,1170.6,Pagado,Débito automático
P2551288,L000765,2022-12-24,964.98,Pagado,Agencia
P3592464,L000360,2022-12-25,3414.1,Pagado,App
P1762722,L000598,2022-12-25,8161.52,Pagado,App
P7248518,L001203,2022-12-25,648.53,Pagado,Débito automático
P2997927,L001551,2022-12-26,15358.7,Pagado,Débito automático
P2843740,L000649,2022-12-27,397.4,Pagado,Agencia
P4543184,L001289,2022-12-28,2535.68,Pagado,Agencia
P1861596,L000646,2022-12-29,474.39,Pagado,App
P5994727,L000931,2022-12-30,5045.47,Pagado,Débito automático
P5694689,L001063,2022-12-30,1564.31,Pagado,App
P4974590,L000750,2022-12-31,20629.06,Pagado,Agencia
P1966769,L000759,2023-01-01,1984.56,Pagado,App
P9965197,L000873,2023-01-01,2272.89,Pagado,Agente
P8967375,L000643,2023-01-02,1709.58,Pagado,Débito automático
P3198037,L000293,2023-01-03,2317.81,Pagado,Agencia
P3791137,L000322,2023-01-03,1756.99,Pagado,Débito automático
P2808009,L001359,2023-01-06,7418.73,Pagado,App
P1908455,L001603,2023-01-07,7089.98,Pagado,App
P4736395,L001336,2023-01-08,3312.5,Pagado,App
P8132769,L000163,2023-01-10,1628.77,Pagado,Agente
P2413458,L000987,2023-01-10,385.48,Pagado,Débito automático
P4535025,L001504,2023-01-10,268.71,Pagado,Débito automático
P4291551,L000784,2023-01-11,3916.99,Pagado,Agente
P8802377,L001179,2023-01-11,1207.93,Pagado,Agencia
P8196691,L001530,2023-01-11,279.26,Pagado,App
P5794062,L000619,2023-01-12,1658.17,Pagado,Débito automático
P9984440,L001181,2023-01-12,1596.26,Parcial,Débito automático
P4506598,L001794,2023-01-13,204.03,Pagado,App
P1349914,L000449,2023-01-14,5705.59,Pagado,App
P5506097,L001203,2023-01-14,635.49,Pagado,App
P1973306,L001266,2023-01-14,2344.51,Pagado,App
P3328554,L000518,2023-01-16,10537.08,Pagado,Agencia
P7183841,L000351,2023-01-19,1733.96,Pagado,App
P8926478,L000518,2023-01-19,6361.04,Pagado,Débito automático
P7133857,L000630,2023-01-20,2053.85,Pagado,App
P1593302,L001041,2023-01-20,136.06,Pagado,App
P8542969,L000607,2023-01-22,624.5,Pagado,Débito automático
P7298619,L000830,2023-01-23,3926.0,Pagado,Débito automático
P2916069,L000929,2023-01-23,513.64,Pagado,Débito automático
P5476257,L000122,2023-01-24,2667.15,Pagado,Débito automático
P8261982,L001330,2023-01-24,1006.36,Pagado,App
P3632804,L001333,2023-01-24,1177.56,Pagado,App
P2585546,L000485,2023-01-26,138.38,Pagado,Agente
P8463259,L001656,2023-01-26,45.94,Pagado,App
P1656695,L000476,2023-01-27,3473.11,Pagado,App
P6865064,L000511,2023-01-27,168.91,Pagado,App
P9081054,L001516,2023-02-01,1993.06,Pagado,Débito automático
P1326765,L000043,2023-02-03,871.65,Pagado,App
P5471188,L001686,2023-02-03,799.02,Pagado,Débito automático
P4342306,L000333,2023-02-04,313.73,Pagado,App
P7726402,L001049,2023-02-05,1873.89,Pagado,App
P5339457,L001259,2023-02-05,2116.59,Pagado,App
P7728339,L000079,2023-02-06,778.34,Pagado,Agente
P7197531,L001178,2023-02-06,773.85,Pagado,Agente
P3970445,L000120,2023-02-09,497.59,Vencido,Agencia
P8117053,L001427,2023-02-09,87.42,Pagado,Agencia
P3586094,L000869,2023-02-10,1423.17,Pagado,App
P8434500,L000074,2023-02-11,2364.55,Pagado,Agencia
P2244282,L000588,2023-02-11,212.88,Pagado,App
P8099076,L000050,2023-02-14,3951.49,Pagado,App
P5951651,L000346,2023-02-14,3629.66,Pagado,Agencia
P1447451,L000512,2023-02-14,2243.4,Pagado,Agencia
P8568671,L000511,2023-02-15,120.57,Parcial,Agencia
P1114590,L000705,2023-02-16,1434.88,Pagado,Agente
P7425184,L000309,2023-02-17,2189.32,Vencido,App
P6512415,L000318,2023-02-17,391.28,Pagado,Agencia
P3895058,L000476,2023-02-17,3413.04,Pagado,Agencia
P1531577,L000811,2023-02-17,583.85,Pagado,Agencia
P6203780,L001016,2023-02-17,1853.05,Pagado,App
P6805303,L000593,2023-02-18,3816.82,Parcial,Agencia
P4387643,L001187,2023-02-21,2098.43,Pagado,App
P6354241,L000863,2023-02-22,1049.31,Pagado,Agente
P5417373,L001179,2023-02-22,1480.8,Pagado,App
P6257165,L000979,2023-02-23,965.85,Pagado,App
P3388630,L001063,2023-02-23,1706.2,Pagado,App
P4671004,L001126,2023-02-23,2134.03,Parcial,Agencia
P8377620,L001179,2023-02-23,1624.18,Pagado,Débito automático
P7377459,L000015,2023-02-24,240.93,Pagado,Agencia
P6908535,L000791,2023-02-25,4767.16,Pagado,Débito automático
P6064062,L001748,2023-02-25,122.77,Pagado,App
P3588336,L000836,2023-02-26,1152.39,Pagado,App
P1141240,L001607,2023-02-26,167.89,Pagado,App
P1198306,L001607,2023-02-26,88.58,Pagado,App
P4956154,L001615,2023-02-27,148.91,Parcial,Agente
P2349590,L000277,2023-03-01,11293.43,Parcial,App
P7274032,L000512,2023-03-01,1879.97,Pagado,Débito automático
P9978365,L000690,2023-03-01,418.76,Pagado,Agencia
P1451577,L000866,2023-03-01,2098.58,Vencido,App
P7875379,L001720,2023-03-01,387.89,Parcial,Agencia
P9033176,L001504,2023-03-02,271.5,Parcial,Agente
P8432510,L001742,2023-03-02,8859.98,Pagado,App
P2347467,L000318,2023-03-03,503.29,Pagado,Agencia
P2576392,L001695,2023-03-03,5220.23,Pagado,Débito automático
P5467052,L001779,2023-03-04,355.37,Pagado,Agencia
P4656838,L000205,2023-03-06,2636.67,Pagado,App
P7318411,L001796,2023-03-06,3674.18,Vencido,App
P3073474,L000351,2023-03-07,2066.83,Pagado,Agencia
P2147756,L000981,2023-03-07,446.55,Pagado,Débito automático
P2514923,L000471,2023-03-08,4146.61,Pagado,Débito automático
P8895137,L000619,2023-03-08,1835.64,Pagado,Agente
P8633275,L000717,2023-03-08,742.04,Pagado,App
P7350753,L000012,2023-03-09,1417.82,Pagado,Agente
P5452763,L001593,2023-03-10,1081.85,Parcial,Agente
P6243691,L000399,2023-03-11,2363.24,Parcial,Débito automático
P2329187,L000519,2023-03-11,326.07,Parcial,Agencia
P7945543,L001181,2023-03-11,1775.36,Pagado,App
P3640018,L001500,2023-03-11,311.81,Pagado,App
P6668452,L001203,2023-03-13,406.57,Pagado,Agencia
P7009053,L001708,2023-03-13,8021.8,Pagado,Agencia
P9428760,L001112,2023-03-15,902.63,Pagado,App
P4517918,L001148,2023-03-15,35.38,Pagado,Débito automático
P8684678,L000385,2023-03-16,793.06,Pagado,Débito automático
P1738833,L001037,2023-03-16,3086.82,Pagado,Agencia
P3917016,L001081,2023-03-16,1423.93,Pagado,Débito automático
P3347981,L000823,2023-03-17,297.02,Pagado,Débito automático
P7231009,L001685,2023-03-17,3819.62,Pagado,App
P4349987,L001170,2023-03-18,288.36,Parcial,App
P1002847,L001344,2023-03-18,2958.23,Pagado,Agente
P4034091,L000497,2023-03-19,375.09,Pagado,App
P6412330,L001720,2023-03-19,352.22,Pagado,Agente
P9712003,L000549,2023-03-20,2541.91,Pagado,App
P3508522,L000519,2023-03-21,387.5,Pagado,Agencia
P2471723,L001107,2023-03-22,7536.08,Pagado,App
P2034137,L001179,2023-03-24,1286.86,Parcial,App
P3111034,L001706,2023-03-24,1069.45,Pagado,Débito automático
P8250013,L000900,2023-03-25,7350.69,Pagado,App
P6144785,L001551,2023-03-25,19540.28,Parcial,Agencia
P9493265,L001573,2023-03-25,3754.5,Pagado,Agente
P6555772,L000129,2023-03-26,12033.16,Pagado,Débito automático
P3308538,L000518,2023-03-28,5028.78,Parcial,Débito automático
P5060441,L000869,2023-03-28,1910.97,Pagado,Agente
P5152891,L000931,2023-03-28,4401.54,Pagado,Agencia
P6553084,L000898,2023-03-29,1388.11,Pagado,Débito automático
P5102892,L001037,2023-03-29,1985.29,Pagado,Débito automático
P5816353,L000470,2023-03-30,176.53,Pagado,App
P9173859,L001135,2023-03-30,1597.17,Parcial,Agencia
P1137194,L000619,2023-03-31,2188.92,Pagado,Agencia
P4041047,L001325,2023-03-31,939.68,Pagado,Débito automático
P4576485,L001427,2023-04-01,70.02,Pagado,Agencia
P1532460,L001685,2023-04-01,3995.63,Parcial,App
P9106886,L000334,2023-04-02,319.49,Pagado,Débito automático
P7891524,L001517,2023-04-02,592.73,Parcial,App
P1202450,L000995,2023-04-04,475.04,Pagado,App
P5702093,L001602,2023-04-04,4557.62,Pagado,Agente
P4903632,L001706,2023-04-04,1407.68,Pagado,App
P9459284,L000695,2023-04-05,859.53,Vencido,Agente
P8789281,L001306,2023-04-05,7667.4,Pagado,Agencia
P9767312,L000263,2023-04-06,1505.2,Pagado,App
P7668663,L000318,2023-04-06,469.86,Pagado,Agencia
P8841768,L000585,2023-04-06,1792.26,Pagado,Agencia
P9838222,L001796,2023-04-06,3762.66,Pagado,Débito automático
P2785277,L000041,2023-04-07,7291.22,Pagado,Agencia
P1131249,L000101,2023-04-07,274.16,Vencido,App
P7136988,L000907,2023-04-08,101.15,Pagado,Agente
P7912082,L001107,2023-04-10,10822.11,Pagado,App
P8972838,L001203,2023-04-10,588.51,Parcial,App
P9167227,L001421,2023-04-10,2663.48,Pagado,App
P1823520,L001728,2023-04-10,1578.44,Pagado,Agencia
P9019324,L001126,2023-04-11,1141.49,Pagado,Débito automático
P5072543,L000846,2023-04-13,1028.45,Pagado,Agencia
P7378535,L000648,2023-04-14,844.52,Pagado,App
P6426605,L001744,2023-04-14,5316.92,Pagado,Agente
P1938483,L000022,2023-04-15,21545.1,Pagado,Agente
P3689594,L000508,2023-04-16,3648.16,Parcial,App
P8966781,L001415,2023-04-16,4129.8,Pagado,Agencia
P6364506,L001187,2023-04-17,2004.45,Pagado,Agencia
P8935224,L000310,2023-04-18,3479.8,Vencido,App
P4358435,L000574,2023-04-18,3684.32,Parcial,App
P5306005,L001148,2023-04-18,35.69,Pagado,Débito automático
P8533636,L001185,2023-04-18,631.06,Pagado,Débito automático
P3853891,L001157,2023-04-19,831.48,Pagado,App
P9565571,L001563,2023-04-21,1480.54,Pagado,App
P7632348,L001777,2023-04-21,103.27,Pagado,Agencia
P4116429,L000917,2023-04-22,396.27,Pagado,Agencia
P3494007,L001332,2023-04-23,625.86,Pagado,Agente
P8857296,L000346,2023-04-24,2726.37,Pagado,App
P7358385,L000228,2023-04-25,1389.26,Pagado,Débito automático
P9996414,L000012,2023-04-26,1021.21,Pagado,Débito automático
P2263313,L000346,2023-04-26,2412.41,Pagado,App
P7679508,L001551,2023-04-26,12478.98,Pagado,Agencia
P1691125,L000598,2023-04-27,7068.73,Pagado,App
P2568678,L000811,2023-04-28,764.21,Pagado,App
P7953658,L001359,2023-04-28,10944.32,Parcial,Agente
P3394312,L001517,2023-04-28,398.1,Pagado,App
P9952696,L000318,2023-04-30,576.83,Pagado,App
P8612081,L000397,2023-04-30,7486.55,Pagado,Débito automático
P7154919,L000929,2023-04-30,456.32,Pagado,Débito automático
P5479152,L001384,2023-04-30,2236.81,Pagado,Agencia
P3684131,L000559,2023-05-01,515.0,Pagado,Débito automático
P8339797,L001016,2023-05-01,1796.86,Pagado,App
P6920646,L001494,2023-05-01,2211.57,Pagado,Agencia
P8481188,L000168,2023-05-02,440.64,Pagado,Débito automático
P7893063,L000500,2023-05-02,2283.61,Pagado,Agencia
P2071008,L001246,2023-05-02,770.6,Vencido,Agencia
P5970190,L000246,2023-05-03,13962.78,Pagado,App
P8118722,L000333,2023-05-04,544.13,Parcial,Débito automático
P7765480,L000621,2023-05-04,2355.16,Parcial,Agente
P2437708,L000830,2023-05-04,6092.7,Pagado,App
P9184645,L001706,2023-05-04,782.92,Pagado,App
P5634662,L000300,2023-05-07,1105.39,Pagado,Agencia
P9425786,L000806,2023-05-07,572.65,Pagado,Débito automático
P1419843,L000353,2023-05-08,2083.49,Pagado,App
P8425149,L000166,2023-05-10,2030.76,Parcial,App
P9712957,L000634,2023-05-10,523.95,Pagado,Débito automático
P9153566,L000049,2023-05-11,515.83,Pagado,Débito automático
P8103580,L000492,2023-05-11,2363.67,Pagado,App
P5164624,L000875,2023-05-11,1042.67,Pagado,App
P9877065,L000034,2023-05-12,199.57,Pagado,Débito automático
P4618086,L000519,2023-05-12,423.32,Pagado,Débito automático
P7442089,L000158,2023-05-13,175.61,Pagado,Agente
P5187788,L000568,2023-05-13,529.5,Pagado,App
P7180018,L000643,2023-05-13,1560.95,Pagado,Débito automático
P3448176,L000783,2023-05-13,1418.3,Pagado,App
P9853588,L000910,2023-05-14,4253.41,Pagado,App
P4594297,L000060,2023-05-15,363.43,Pagado,App
P2919136,L000205,2023-05-15,3193.48,Pagado,Débito automático
P6540893,L000765,2023-05-16,852.39,Pagado,Agencia
P1635626,L001429,2023-05-16,537.0,Pagado,App
P3348114,L000791,2023-05-17,2458.59,Pagado,App
P2562037,L001157,2023-05-17,1353.21,Pagado,Débito automático
P3349030,L000985,2023-05-18,1234.01,Pagado,App
P8276470,L001269,2023-05-18,4502.7,Vencido,Débito automático
P7390162,L001615,2023-05-18,113.0,Pagado,Agencia
P1581546,L001748,2023-05-18,510.64,Pagado,App
P5015307,L000775,2023-05-19,175.1,Parcial,Agencia
P6245463,L001393,2023-05-19,5588.51,Pagado,App
P7705062,L000159,2023-05-20,952.76,Pagado,Débito automático
P4306357,L000907,2023-05-20,182.54,Pagado,Agente
P8686601,L001190,2023-05-23,1120.87,Pagado,App
P9025733,L000657,2023-05-24,762.86,Pagado,App
P8215305,L001779,2023-05-24,446.94,Pagado,App
P3564729,L000462,2023-05-26,480.79,Pagado,Agencia
P8159911,L000399,2023-05-27,2516.34,Pagado,Débito automático
P7666510,L001189,2023-05-27,880.77,Pagado,Agencia
P7471232,L001314,2023-05-27,731.83,Pagado,Agencia
P2038068,L000473,2023-05-28,975.97,Pagado,App
P3498809,L000635,2023-05-29,524.87,Parcial,Débito automático
P6404139,L000392,2023-05-31,514.01,Pagado,Agencia
P5955645,L000831,2023-05-31,3952.02,Pagado,App
P9036805,L001107,2023-05-31,9655.3,Pagado,Agencia
P2844258,L000376,2023-06-02,386.63,Pagado,Agencia
P4664338,L000717,2023-06-02,531.67,Pagado,App
P5816582,L000731,2023-06-02,3820.8,Pagado,App
P9782198,L001656,2023-06-02,59.37,Pagado,App
P9280890,L001683,2023-06-02,336.44,Pagado,App
P9511546,L000529,2023-06-03,2256.82,Pagado,Agente
P6791039,L000429,2023-06-04,2059.56,Pagado,App
P3102634,L000588,2023-06-04,169.99,Pagado,App
P3936596,L001573,2023-06-04,3915.89,Parcial,Agente
P8421839,L000677,2023-06-05,2253.06,Pagado,Agencia
P2385991,L000549,2023-06-06,1834.91,Pagado,App
P9734854,L001243,2023-06-06,1326.37,Parcial,App
P6905327,L000911,2023-06-07,14575.47,Pagado,Débito automático
P2382909,L001005,2023-06-07,6859.07,Pagado,App
P2265001,L001468,2023-06-07,1085.09,Vencido,App
P2556017,L000009,2023-06-08,1818.48,Pagado,Agencia
P7486822,L000545,2023-06-08,2114.64,Parcial,Débito automático
P4730635,L001256,2023-06-09,1343.74,Pagado,Débito automático
P1207369,L001329,2023-06-09,1277.21,Parcial,Agencia
P1620485,L000538,2023-06-10,3908.15,Pagado,Agencia
P9891787,L000759,2023-06-10,1894.53,Pagado,App
P4640933,L000769,2023-06-10,1462.27,Pagado,Agencia
P4220085,L000808,2023-06-10,831.81,Vencido,App
P6309530,L000995,2023-06-10,419.47,Pagado,Débito automático
P7353742,L001151,2023-06-10,2181.94,Pagado,Débito automático
P9924543,L001673,2023-06-10,11105.11,Pagado,Débito automático
P9741022,L001559,2023-06-11,4785.66,Pagado,App
P9184951,L001777,2023-06-12,124.6,Pagado,Débito automático
P4071377,L001259,2023-06-13,1798.92,Pagado,App
P8149041,L000555,2023-06-14,4016.39,Pagado,App
P6586214,L000771,2023-06-14,1222.86,Pagado,Agente
P5889688,L000863,2023-06-14,686.35,Pagado,Agencia
P2326581,L000765,2023-06-15,1112.9,Pagado,App
P2876932,L000109,2023-06-16,1730.22,Pagado,Agente
P7328534,L000308,2023-06-16,665.43,Parcial,Débito automático
P6110305,L001344,2023-06-16,3114.73,Pagado,App
P6702160,L000301,2023-06-17,1329.47,Pagado,Débito automático
P6442103,L000322,2023-06-17,1531.51,Pagado,App
P8549319,L000588,2023-06-17,210.34,Pagado,Débito automático
P2156393,L001049,2023-06-17,1863.93,Parcial,Débito automático
P5118725,L000226,2023-06-19,5924.52,Pagado,App
P2977390,L000914,2023-06-19,3142.15,Pagado,Débito automático
P8981512,L001256,2023-06-19,1405.22,Pagado,Débito automático
P3851902,L001257,2023-06-19,975.94,Pagado,App
P4694634,L000055,2023-06-20,6272.93,Pagado,Agente
P7381684,L000263,2023-06-20,1091.2,Pagado,App
P6534221,L000784,2023-06-20,3875.84,Pagado,Débito automático
P8581910,L001077,2023-06-20,1963.87,Pagado,App
P2436347,L000233,2023-06-21,5561.71,Pagado,Agencia
P8583392,L000382,2023-06-21,4278.53,Pagado,Débito automático
P5767195,L000485,2023-06-21,155.13,Pagado,Débito automático
P6454894,L001247,2023-06-21,2103.54,Pagado,Agencia
P4739628,L001494,2023-06-21,1959.11,Pagado,Agencia
P2789344,L000334,2023-06-22,389.87,Parcial,Agente
P4934808,L001454,2023-06-22,595.46,Parcial,Agencia
P6467463,L000863,2023-06-23,1244.19,Pagado,App
P4094587,L000899,2023-06-23,6797.75,Pagado,App
P5588489,L001489,2023-06-24,379.66,Pagado,Agente
P4394845,L001523,2023-06-24,1465.73,Pagado,App
P8273315,L000221,2023-06-25,391.74,Pagado,Débito automático
P7392547,L000351,2023-06-25,1688.56,Pagado,Agencia
